Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%),Health Star Rating
Sashimi,124.0,4.4,1.1,89.0,152.0,0.9,0.0,0.0,19.0,2.6,27.0,1.3,333.4,2,0,0,4.0
Takoyaki,149.0,6.4,0.8,49.0,419.0,15.0,0.6,0.4,7.7,0.2,81.0,2.3,174.8,2,0,0,3.5
Tacos,206.0,9.8,4.2,25.0,560.0,20.0,2.9,1.6,9.3,0.1,123.0,1.7,161.0,2,0,20,3.0
Fish tacos,198.0,9.7,3.3,35.0,265.0,15.0,1.2,1.1,13.0,1.6,33.0,1.2,247.0,2,0,20,3.5
Beef tacos,219.0,11.0,4.5,34.0,509.0,18.0,1.5,2.4,13.0,0.0,116.0,1.9,244.0,2,0,20,3.0
Chicken tacos,189.0,6.4,2.6,29.0,613.0,20.0,1.2,1.3,13.0,0.1,122.0,1.6,217.0,2,0,20,3.5
Breakfast tacos,267.0,16.0,6.0,158.0,475.0,16.0,0.9,0.7,14.0,1.0,141.0,1.6,164.8,2,0,20,2.0
Boiled egg,155.0,11.0,3.3,373.0,124.0,1.1,0.0,1.1,13.0,2.2,50.0,1.2,126.0,2,0,0,4.0
Soft boiled egg,155.0,11.0,3.3,373.0,124.0,1.1,0.0,1.1,13.0,2.2,50.0,1.2,126.0,2,0,0,4.0
Fried egg,196.0,15.0,4.3,401.0,207.0,0.8,0.0,0.4,14.0,2.2,62.0,1.9,152.0,2,0,0,3.5
Deviled egg,225.0,19.0,4.4,312.0,228.0,1.7,0.4,0.4,11.0,1.7,54.0,1.6,137.3,2,0,0,3.5
Omelette,181.0,14.0,3.3,350.0,299.0,0.8,0.0,0.4,12.0,1.9,54.0,1.7,132.1,2,0,0,3.5
Stew,106.0,3.2,1.5,34.0,65.0,8.2,1.3,1.8,11.0,0.1,22.0,1.3,320.3,2,0,0,4.0
Pork stew,120.0,6.9,2.7,27.0,56.0,6.9,1.1,1.4,7.5,0.4,21.0,0.8,271.6,2,0,0,4.0
Lamb stew,99.0,6.7,2.1,18.0,236.0,4.4,0.7,0.9,5.4,0.0,15.0,0.8,187.9,2,0,0,3.5
Seafood stew,118.0,2.4,0.3,43.0,703.0,5.4,0.3,0.4,17.0,0.7,58.0,1.7,465.7,2,0,0,3.5
Chicken stew,67.0,1.1,0.3,18.0,154.0,7.7,1.0,1.7,6.5,0.5,9.8,0.4,272.8,2,0,0,4.0
Beef stew,106.0,3.2,1.5,34.0,65.0,8.2,1.3,1.8,11.0,0.1,22.0,1.3,320.3,2,0,0,4.0
Grilled fish,116.0,1.7,0.4,84.0,132.0,0.0,0.0,0.0,23.0,1.8,62.0,0.4,434.0,2,0,0,4.5
Grilled steak,278.0,18.0,7.3,97.0,52.0,0.0,0.0,0.0,26.0,0.3,17.0,1.8,316.0,2,0,0,3.5
Grilled salmon,206.0,12.0,2.4,63.0,61.0,0.0,0.0,0.0,22.0,13.0,15.0,0.3,384.0,2,0,0,4.0
Grilled shrimp,119.0,1.7,0.5,211.0,947.0,1.5,0.0,0.0,23.0,0.1,91.0,0.3,170.0,2,0,0,3.5
Grilled octopus,164.0,2.1,0.5,96.0,460.0,4.4,0.0,0.0,30.0,0.0,106.0,9.5,630.0,2,0,0,4.0
Watermelon,30.0,0.2,0.0,0.0,1.0,7.6,0.4,6.2,0.6,0.0,7.0,0.2,112.0,2,0,0,5.0
Banana,89.0,0.3,0.1,0.0,1.0,23.0,2.6,12.0,1.1,0.0,5.0,0.3,358.0,2,0,0,5.0
Avocado,160.0,15.0,2.1,0.0,7.0,8.5,6.7,0.7,2.0,0.0,12.0,0.6,485.0,2,0,0,5.0
Apple,52.0,0.2,0.0,0.0,1.0,14.0,2.4,10.0,0.3,0.0,6.0,0.1,107.0,2,0,0,5.0
Orange,49.0,0.2,0.0,0.0,1.0,13.0,2.2,8.5,0.9,0.0,43.0,0.1,166.0,2,0,0,5.0
Mandarins orange,53.0,0.3,0.0,0.0,2.0,13.0,1.8,11.0,0.8,0.0,37.0,0.2,166.0,2,0,0,5.0
Mango,60.0,0.4,0.1,0.0,1.0,15.0,1.6,14.0,0.8,0.0,11.0,0.2,168.0,2,0,0,5.0
Jackfruit,95.0,0.6,0.2,0.0,2.0,23.0,1.5,19.0,1.7,0.0,24.0,0.2,448.0,2,0,0,5.0
Cabbage,23.0,0.1,0.0,0.0,8.0,5.5,1.9,2.8,1.3,0.0,48.0,0.2,196.0,2,0,0,5.0
Red cabbage,29.0,0.1,0.0,0.0,28.0,6.9,2.6,3.3,1.5,0.0,42.0,0.7,262.0,2,0,0,5.0
Spinach,23.0,0.3,0.0,0.0,70.0,3.8,2.4,0.4,3.0,0.0,136.0,3.6,466.0,2,0,0,5.0
Strawberry,32.0,0.3,0.0,0.0,1.0,7.7,2.0,4.9,0.7,0.0,16.0,0.4,153.0,2,0,0,5.0
Tomato,18.0,0.2,0.0,0.0,5.0,3.9,1.2,2.6,0.9,0.0,10.0,0.3,237.0,2,0,0,5.0
Cucumber,15.0,0.1,0.0,0.0,2.0,3.6,0.5,1.7,0.7,0.0,16.0,0.3,147.0,2,0,0,5.0
Carrot,35.0,0.2,0.0,0.0,58.0,8.2,3.0,3.5,0.8,0.0,30.0,0.3,235.0,2,0,0,5.0
Cauliflower,23.0,0.5,0.1,0.0,15.0,4.1,2.3,2.1,1.8,0.0,16.0,0.3,142.0,2,0,0,5.0
Broccoli,35.0,0.4,0.1,0.0,41.0,7.2,3.3,1.4,2.4,0.0,40.0,0.7,293.0,2,0,0,5.0
Grape,69.0,0.2,0.1,0.0,2.0,18.0,0.9,15.0,0.7,0.0,10.0,0.4,191.0,2,0,0,5.0
Pear,57.0,0.1,0.0,0.0,1.0,15.0,3.1,9.8,0.4,0.0,9.0,0.2,116.0,2,0,0,5.0
Peach,39.0,0.3,0.0,0.0,0.0,9.5,1.5,8.4,0.9,0.0,6.0,0.3,190.0,2,0,0,5.0
Pickle,12.0,0.3,0.1,0.0,809.0,2.4,1.0,1.1,0.5,0.0,57.0,0.3,117.0,2,0,0,2.5
Popcorn,557.0,34.0,7.2,0.0,764.0,55.0,10.0,0.6,7.5,0.0,20.0,1.9,240.0,2,0,100,3.5
Ramen,135.0,5.0,1.7,32.0,381.0,16.0,0.9,1.0,6.7,0.1,18.0,1.4,117.8,2,0,0,3.5
