Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%)
Spinach smoothie,59,0.8,0.1,0,9.4,13,2.2,7.2,1.4,0.2,55,0.5,240.5,1D,0,60
Kiwi smoothie,79,0.9,0.5,3,26,17,1.2,14,2.2,0.2,75,0.2,190,1D,0,60
Tropical smoothie,60,0.3,0.1,0,2.9,15,1.5,13,0.6,0,14,0.3,161.5,1D,0,60
Pineapple smoothie,86,1.1,0.6,3.9,27,18,1.2,11,2.2,0.5,68,0.2,251.4,1D,0,60
Cappuccino,42,1.6,1,6.4,40,4.2,0,4,2.6,1,96,0,134.8,1D,0,0
Goi du du,51,1.1,0.2,0,287,10,1.7,7.1,1.2,0,22,0.3,202.8,2,0,100
Salad,24,0.2,0,0,37,5,2,2.2,1.5,0,44,1,283.8,2,0,100
Lecttuce salad,24,0.2,0,0,37,5,2,2.2,1.5,0,44,1,283.8,2,0,100
Spinach salad,158,12,4.4,75,291,3.7,1.1,1.6,8,0.6,46,1.4,337.8,2,0,100
Beet salad,231,20,4.1,7.1,223,9.4,1.8,6.9,4.3,0.1,59,1,241,2,0,100
Greek salad,113,9.4,3.5,16,233,4.7,1,2.6,3.2,0.1,105,0.6,150.3,2,0,100
Caesar salad,158,13,2.7,12,378,7.5,1.9,1.6,3.3,0,81,1.1,200.9,2,0,100
Caprese salad,136,10,4.9,27,272,2.9,0.7,1.8,8.2,0.1,183,0.4,157.6,2,0,100
Edamame salad,116,4.5,0.6,0,157,15,4.4,2.6,6.1,0,30,1.5,268.2,2,0,100
Seaweed salad,115,7.8,1.1,0,1236,8.6,1.9,3.5,3.1,0,76,1.5,242.4,2,0,100
Pho,90,2,0.4,12,460,11,0.8,1.9,6.6,0,16,0.9,191.5,2,0,0
Pho ga,54,1.3,0.2,9.4,368,6.5,0.6,1.2,4,0,10,0.4,69.2,2,0,0
Pho nam,89,2.2,0.6,12,455,11,0.8,1.9,5.9,0,15,0.7,179.5,2,0,0
Banh mi,180,6.9,1.9,40,239,14,0.8,1.7,15,0.4,28,1.4,227.9,2,0,20
Banh mi thit heo,180,6.9,1.9,40,239,14,0.8,1.7,15,0.4,28,1.4,227.9,2,0,20
Banh mi ga,180,6.9,1.9,40,239,14,0.8,1.7,15,0.4,28,1.4,227.9,2,0,20
Banh goi,211,10,2.3,25,372,20,1.3,1,9.4,0.1,38,1.4,185.9,2,0,0
Banh can,202,10,2.1,29,301,16,0.3,0.2,11,0.3,17,1.1,154,2,0,0
Banh giay,212,3.8,0.4,0,133,40,1.2,0.1,3,0,6.5,0.2,38.4,2,0,0
Banh cuon,118,5.1,1.2,39,720,8.7,0.6,1.2,9.6,0,14,0.7,326.5,2,0,0
Banh khot,202,10,2.1,29,301,16,0.3,0.2,11,0.3,17,1.1,154,2,0,0
Banh bot loc ,160,6.6,0.7,30,260,20,0.6,1.6,4.8,0.1,26,0.6,87.8,2,0,0
Banh xeo,139,4.9,2.1,22,99,17,1.2,0.9,6.2,0.1,19,0.9,144.5,2,0,0
Banh tieu,313,15,1.2,0,410,40,1.8,11,4.7,0,91,2.4,66,2,0,0
Banh trang,330,1.3,0.4,0,0.4,72,2.2,0.1,5.4,0,9.3,0.3,68.5,2,0,0
Banh trung thu,286,12,3.3,340,228,36,1.9,19,9.1,1.7,59,1.5,134.1,2,0,0
Canh chua,35,1.5,0.3,7.9,108,2.9,0.6,2,2.9,0,15,0.3,102.9,2,5,60
Bun bo hue,88,1.9,0.4,13,504,11,1,1.8,6.5,0,17,1,203,2,0,0
Bun bo xao,109,3.3,1,14,408,14,1.1,3.3,5.9,0,26,0.9,172.3,2,0,0
Bun thit nuong,150,7.3,1.2,11,666,17,1,5.8,4.9,0.1,22,0.6,124.2,2,0,0
Cha gio,241,10,1.5,13,548,30,1.6,1.3,7.8,0.1,26,1.7,156.5,2,0,0
Goi cuon,118,3.3,0.7,75,494,12,1,1.4,10,0,49,0.5,178.1,2,0,50
Thit kho nuoc dua,208,20,7.2,53,326,2.2,0.4,1.6,4.8,0.2,16,0.4,174,2,0,0
Bao,234,4.4,1.5,14,344,38,1.4,4.4,9.5,0.1,55,2.4,132.9,2,0,0
Fried rice,174,3,0.5,18,387,33,1.1,0.6,4.1,0,12,0.7,76,2,0,0
Kimchi fried rice,153,8.3,3.6,68,355,14,0.9,0.7,5.4,0.3,25,0.5,253.1,2,0,40
Garlic fried rice,168,5.3,0.4,0,177,27,0.1,0,2.3,0,5.1,0.2,33,2,0,0
Roasted duck,337,28,9.7,84,59,0,0,0,19,0.1,11,2.7,204,2,0,0
Sushi,165,8.9,1.3,8.1,254,18,1.5,3.3,3.7,0,27,0.6,139,2,0,5
Tuna sushi,117,0.4,0.1,22,26,12,0.2,0,15,1,5.7,0.6,276.4,2,0,10
Salmon sushi,180,8.1,1.8,31,147,13,0.4,0.5,13,6.2,10,0.3,225.8,2,0,10
Shrimp sushi,96,0.7,0.2,72,324,13,0.2,0,8.9,0.1,34,0.2,88.7,2,0,10
Sushi california,165,8.9,1.3,8.1,254,18,1.5,3.3,3.7,0,27,0.6,139,2,0,10
French fries,312,15,2.3,0,210,41,3.8,0.3,3.4,0,18,0.8,579,2,0,100
Sweet potato fries,276,20,1.6,0,193,23,3.1,5.8,1.5,0,35,0.4,219.6,2,0,100
Chicken burger,259,9.8,2,28,511,28,2,3.2,14,0.1,107,2.2,184.8,2,0,0
Turkey burger,257,16,5,57,264,12,0.7,2,16,0.2,147,1.7,181,2,0,0
Bacon burguer,468,35,12,99,1684,1.7,0,0,34,0.4,11,1,499,2,0,0
Hamburger,239,12,4.7,54,350,18,0,0,15,0,45,2.6,252,2,0,0
Spaghetti,150,0.6,0.1,0,4.8,30,1.3,1.1,5.3,0,10,1.3,90.3,2,0,0
Spaghetti carbonara,199,6.4,2.1,36,188,26,1.5,0.5,8.6,0.2,75,1.2,75.4,2,0,0
Spaghetti bolognese,101,3.3,1,9.4,96,13,1.7,2.2,5.2,0,31,1,171.8,2,0,0
Sausage spaghetti,131,5.7,2,11,250,14,1.2,1.3,6,0.2,36,0.9,121.8,2,0,0
Chicken curry,104,4.6,0.6,32,31,3.2,0.6,0.9,12,0,17,0.9,159.3,2,0,0
Fried chicken,269,15,4.1,90,84,3.2,0.1,0,29,0.1,17,1.4,234,2,0,0
Fried chicken wing,324,22,5.8,79,320,11,0.3,0,20,0,20,1.3,138,2,0,0
Fried chicken breast,260,13,3.5,85,275,9,0.3,0,25,0.1,20,1.3,201,2,0,0
Fried chicken tenders,302,17,2.9,46,800,19,0.9,0.2,19,0,18,0.7,324,2,0,0
Fried chicken drumstick,245,14,3.7,90,89,1.6,0.1,0,27,0,12,1.3,229,2,0,0
Nugget,307,20,3.6,55,594,15,0.9,0.1,16,0.2,11,0.8,251,2,0,0
Fish nugget,229,13,3.3,71,280,8,0.7,0,18,0,44,1.4,340,2,0,0
Bbq chicken wings,257,18,4.6,129,579,0.6,0,0.6,23,0,33,0.9,285,2,0,0
Bbq boneless wings,263,12,2.1,32,869,26,0.9,10,13,0,23,0.7,296.1,2,0,0
Bbq buffalo wings,256,18,5.9,134,840,0.3,0,0.2,22,0.2,18,0.8,202.6,2,0,0
Bbq honey wings,265,14,3.7,49,454,23,0.5,14,13,0,24,1.4,186.6,2,0,0
Burrito,180,6.8,2.7,12,451,23,3.7,2.1,7,0.1,90,1.8,204,2,0,0
Burrito beef,180,6.8,2.7,12,451,23,3.7,2.1,7,0.1,90,1.8,204,2,0,0
Steak burrito,174,6.2,2.6,22,180,21,2.4,1,8.7,0,48,1.3,199,2,0,0
Chicken burrito,166,5.1,2.1,22,184,21,2.4,1,9,0,47,1.2,184.9,2,0,0
Donut,421,23,9.5,30,316,48,2.1,23,6.1,0.1,101,2.4,102,2,0,0
Mapple donut,421,23,9.5,30,316,48,2.1,23,6.1,0.1,101,2.4,102,2,0,0
Sandwich,267,3.2,0.8,0,508,49,4,5.9,11,0,133,3.5,177,2,0,20
Ham sandwich,172,5.8,1.5,21,622,20,1.9,2.5,9.5,0.3,67,1.8,210.3,2,0,20
Tuna sandwich,208,7.7,1.3,9.5,426,20,0.7,1.5,14,0,51,1.7,164,2,0,20
Club sandwich,234,13,4.9,58,535,12,0.9,2,16,0.2,208,1.4,203.3,2,0,20
Bacon sandwich,408,27,12,69,1008,23,1.2,2.6,18,0.4,73,2,268.6,2,0,20
Turkey sandwich,217,8.9,1.5,31,279,19,1.3,2.6,14,0.1,63,1.7,179.9,2,0,20
Salmon sandwich,292,21,5.8,72,287,12,0.6,2.2,13,0.3,30,0.6,243.6,2,0,20
Chicken sandwich,250,11,2.1,35,753,21,1.4,3.6,16,0.1,58,1.8,245,2,0,20
Lobster roll sandwich,199,8.5,1.4,53,369,13,0.8,0.4,17,0,58,1.5,174.5,2,0,20
Peanut butter sandwich,392,21,4.2,0,485,39,3.9,6,14,0,109,3,308.7,2,0,0
Sashimi,124,4.4,1.1,89,152,0.9,0,0,19,2.6,27,1.3,333.4,2,0,0
Takoyaki,149,6.4,0.8,49,419,15,0.6,0.4,7.7,0.2,81,2.3,174.8,2,0,0
Tacos,206,9.8,4.2,25,560,20,2.9,1.6,9.3,0.1,123,1.7,161,2,0,20
Fish tacos,198,9.7,3.3,35,265,15,1.2,1.1,13,1.6,33,1.2,247,2,0,20
Beef tacos,219,11,4.5,34,509,18,1.5,2.4,13,0,116,1.9,244,2,0,20
Chicken tacos,189,6.4,2.6,29,613,20,1.2,1.3,13,0.1,122,1.6,217,2,0,20
Breakfast tacos,267,16,6,158,475,16,0.9,0.7,14,1,141,1.6,164.8,2,0,20
Boiled egg,155,11,3.3,373,124,1.1,0,1.1,13,2.2,50,1.2,126,2,0,0
Soft boiled egg,155,11,3.3,373,124,1.1,0,1.1,13,2.2,50,1.2,126,2,0,0
Fried egg,196,15,4.3,401,207,0.8,0,0.4,14,2.2,62,1.9,152,2,0,0
Deviled egg,225,19,4.4,312,228,1.7,0.4,0.4,11,1.7,54,1.6,137.3,2,0,0
Omelette,181,14,3.3,350,299,0.8,0,0.4,12,1.9,54,1.7,132.1,2,0,0
Stew,106,3.2,1.5,34,65,8.2,1.3,1.8,11,0.1,22,1.3,320.3,2,0,0
Pork stew,120,6.9,2.7,27,56,6.9,1.1,1.4,7.5,0.4,21,0.8,271.6,2,0,0
Lamb stew,99,6.7,2.1,18,236,4.4,0.7,0.9,5.4,0,15,0.8,187.9,2,0,0
Seafood stew,118,2.4,0.3,43,703,5.4,0.3,0.4,17,0.7,58,1.7,465.7,2,0,0
Chicken stew,67,1.1,0.3,18,154,7.7,1,1.7,6.5,0.5,9.8,0.4,272.8,2,0,0
Beef stew,106,3.2,1.5,34,65,8.2,1.3,1.8,11,0.1,22,1.3,320.3,2,0,0
Grilled fish,116,1.7,0.4,84,132,0,0,0,23,1.8,62,0.4,434,2,0,0
Grilled steak,278,18,7.3,97,52,0,0,0,26,0.3,17,1.8,316,2,0,0
Grilled salmon,206,12,2.4,63,61,0,0,0,22,13,15,0.3,384,2,0,0
Grilled shrimp,119,1.7,0.5,211,947,1.5,0,0,23,0.1,91,0.3,170,2,0,0
Grilled octopus,164,2.1,0.5,96,460,4.4,0,0,30,0,106,9.5,630,2,0,0
Watermelon,30,0.2,0,0,1,7.6,0.4,6.2,0.6,0,7,0.2,112,2,0,0
Banana,89,0.3,0.1,0,1,23,2.6,12,1.1,0,5,0.3,358,2,0,0
Avocado,160,15,2.1,0,7,8.5,6.7,0.7,2,0,12,0.6,485,2,0,0
Apple,52,0.2,0,0,1,14,2.4,10,0.3,0,6,0.1,107,2,0,0
Orange,49,0.2,0,0,1,13,2.2,8.5,0.9,0,43,0.1,166,2,0,0
Mandarins orange,53,0.3,0,0,2,13,1.8,11,0.8,0,37,0.2,166,2,0,0
Mango,60,0.4,0.1,0,1,15,1.6,14,0.8,0,11,0.2,168,2,0,0
Jackfruit,95,0.6,0.2,0,2,23,1.5,19,1.7,0,24,0.2,448,2,0,0
Cabbage,23,0.1,0,0,8,5.5,1.9,2.8,1.3,0,48,0.2,196,2,0,0
Red cabbage,29,0.1,0,0,28,6.9,2.6,3.3,1.5,0,42,0.7,262,2,0,0
Spinach,23,0.3,0,0,70,3.8,2.4,0.4,3,0,136,3.6,466,2,0,0
Strawberry,32,0.3,0,0,1,7.7,2,4.9,0.7,0,16,0.4,153,2,0,0
Tomato,18,0.2,0,0,5,3.9,1.2,2.6,0.9,0,10,0.3,237,2,0,0
Cucumber,15,0.1,0,0,2,3.6,0.5,1.7,0.7,0,16,0.3,147,2,0,0
Carrot,35,0.2,0,0,58,8.2,3,3.5,0.8,0,30,0.3,235,2,0,0
Cauliflower,23,0.5,0.1,0,15,4.1,2.3,2.1,1.8,0,16,0.3,142,2,0,0
Broccoli,35,0.4,0.1,0,41,7.2,3.3,1.4,2.4,0,40,0.7,293,2,0,0
Grape,69,0.2,0.1,0,2,18,0.9,15,0.7,0,10,0.4,191,2,0,0
Pear,57,0.1,0,0,1,15,3.1,9.8,0.4,0,9,0.2,116,2,0,0
Peach,39,0.3,0,0,0,9.5,1.5,8.4,0.9,0,6,0.3,190,2,0,0
Pickle,12,0.3,0.1,0,809,2.4,1,1.1,0.5,0,57,0.3,117,2,0,0
Popcorn,557,34,7.2,0,764,55,10,0.6,7.5,0,20,1.9,240,2,0,100
Ramen,135,5,1.7,32,381,16,0.9,1,6.7,0.1,18,1.4,117.8,2,0,0
Chicken ramen,135,5,1.7,32,381,16,0.9,1,6.7,0.1,18,1.4,117.8,2,0,0
Tonkatsu ramen,116,3.9,0.8,44,220,11,0.7,0.9,8.7,0.2,19,0.9,144.7,2,0,0
Miso ramen,85,2.2,0.6,33,260,9.9,0.7,0.7,6.2,0.1,17,0.8,95.3,2,0,0
Miso soup,24,1.2,0.2,0,444,1.5,0.5,0.5,2.4,0,58,0.5,39.3,2,0,30
Imitation crab,95,0.5,0.2,20,529,15,0.5,6.3,7.6,0,13,0.4,90,2,0,0
Ham,139,5.1,1,64,977,1.1,0,1.1,22,0.8,4,0.8,345,2,0,0
Pad thai,170,9,2.2,81,263,9.2,0.9,3.6,13,0.3,22,0.9,160.1,2,0,0
Pork chop,209,11,3.5,84,55,0,0,0,26,0.8,24,0.8,344,2,0,0
Prime rib,341,27,11,83,63,0,0,0,23,0,13,2.4,324,2,0,0
Tofu,83,5.3,0.9,0,4,1.2,1,0.7,10,0,282,2,130,2,0,0
Fried tofu,270,20,2.9,0,16,8.9,3.9,2.7,19,0,372,4.9,146,2,0,0
Mapo tofu,102,7.4,1.2,8.3,382,3.1,0.8,1,7.2,0.1,130,1.2,131.1,2,0,0
Pad thai,170,9,2.2,81,263,9.2,0.9,3.6,13,0.3,22,0.9,160.1,2,0,0
Cooked rice,130,0.3,0.1,0,1,28,0.4,0.1,2.7,0,10,1.2,35,2,0,0
Cooked brown rice,112,0.8,0.2,0,1,24,1.8,0,2.3,0,10,0.5,79,2,0,0
Shrimp and grits,149,8.3,4.3,62,471,8.8,0.6,0.3,9.5,0.1,117,0.5,95.1,2,0,0
Gyoza,211,10,2.3,25,375,20,1.3,1,9.4,0.1,38,1.4,187.4,2,0,0
Grilled pork chop,209,11,3.5,84,55,0,0,0,26,0.8,24,0.8,344,2,0,0
Fried pork chop,288,16,3.2,89,444,16,1.1,1.2,19,0.7,57,1.8,258.1,2,0,0
Bbq pork chop,201,8.9,2.8,66,259,8.6,0.2,7,20,0.6,26,0.8,320.4,2,0,0
Prime rib,341,27,11,83,63,0,0,0,23,0,13,2.4,324,2,0,0
Beef carpaccio,231,17,7.5,68,340,2.5,0.3,0.9,17,0,107,1.3,289.3,2,0,0
Salmon carpaccio,172,10,2.4,43,70,2.7,0.4,1.4,16,8.6,12,0.4,324.7,2,0,0
Beef tartare,246,20,6.5,152,180,2.6,0.6,0.8,15,0.5,45,1.5,256.4,2,0,0
Salmon tartare,229,19,3.3,29,705,3.5,1.8,0.4,12,5.8,18,0.6,333.5,2,0,0
Beignet,291,9.4,2.3,25,150,44,1.4,8.5,6.6,0.4,46,2.3,103.2,2,0,0
Bibimbap,113,2.6,0.7,28,192,18,0.7,1.3,4.2,0.1,27,1,144.3,2,0,0
Beef bibimbap,113,2.6,0.7,28,192,18,0.7,1.3,4.2,0.1,27,1,144.3,2,0,0
Tofu bibimbap,102,2.9,0.5,23,207,16,1.1,1.7,3.9,0.1,50,1.1,147.4,2,0,0
Chicken bibimbap,109,2.2,0.5,28,191,18,0.7,1.3,4.2,0.1,27,0.9,138.5,2,0,0
Ceviche,68,1.1,0.4,31,362,2.2,0.4,0.9,13,1.9,12,0.4,252.4,2,0,0
Mixto ceviche,68,1.1,0.4,31,362,2.2,0.4,0.9,13,1.9,12,0.4,252.4,2,0,0
Ceviche octopus,109,2.9,0.3,44,230,6.8,0.4,1.6,14,0,58,4.4,361,2,0,0
Shrimp ceviche,58,2.1,0.3,46,255,4.9,1.3,1.4,5.6,0,29,0.3,188.5,2,0,0
Scallop ceviche,96,2.5,0.4,19,306,9.5,0.7,1.6,10,0,12,0.5,235.1,2,0,0
Chicken quesadilla,216,10,4.8,37,368,19,1.5,1.3,12,0.1,98,1.4,178.4,2,0,0
Churros,396,29,2,0,168,32,0.7,19,1.8,0,7,0.3,21,2,0,0
Clam chowder,79,3.9,0,0,343,8.3,1,0.2,2.6,0,15,0.5,175,2,0,0
Corn chowder,103,8.2,5.2,25,179,6.5,0.5,1.5,1.4,0.3,18,0.3,101.1,2,0,0
Crab chowder,92,5.8,3.6,45,136,4.1,0.4,1,6,0.1,45,0.3,175.4,2,0,0
Seafood chowder,103,5.9,3.6,36,201,4.8,0.4,1,7.6,0.2,33,0.6,222.8,2,0,0
Salmon chowder,119,6.6,3.5,33,366,7.5,0.6,2.7,8.1,3,163,0.4,203.7,2,0,0
Crab cake,173,11,1.7,75,613,7.1,0.6,1.4,11,0.1,71,1,204,2,0,0
Croque madame,199,11,5.5,82,475,16,0.8,2.9,10,0.9,132,1.4,144.5,2,0,0
Dumpling,230,5.4,1.4,3.5,846,39,1.2,1.6,6.2,0.4,259,0.9,122.4,2,0,0
Soup dumplings,182,6.3,2.1,26,395,21,1.6,1.2,9.9,0.1,37,1.6,186.1,2,0,0
Fried dumpling,211,10,2.3,25,375,20,1.3,1,9.4,0.1,38,1.4,187.4,2,0,0
Chicken dumplings,196,5.3,1.5,49,560,23,1.1,0.4,14,0,30,1.9,362.6,2,0,0
Vegetable dumplings,169,4.2,0.8,29,708,25,1.5,1.4,8.1,0.1,117,2.2,134.2,2,0,0
Shrimp dumpling,189,1.8,0.4,81,638,28,1.2,0.6,13,0,57,1.7,126.8,2,0,0
Edamame,121,5.2,0.6,0,6,8.9,5.2,2.2,12,0,63,2.3,436,2,0,0
Egg benedict,260,19,10,268,690,11,0.8,0.4,11,1.4,74,1.2,202.2,2,0,0
Escargot,90,1.4,0.4,50,70,2,0,0,16,0,10,3.5,382,2,0,0
Falafel,416,37,2.4,0,151,19,4.5,3,5.4,0,37,2.1,196.8,2,0,0
Filet mignon,267,17,6.7,97,54,0,0,0,26,0.3,19,1.7,329,2,0,0
Fish and chips,134,5,0.6,29,273,14,0.9,0.4,8.3,0.4,37,0.4,283.9,2,0,0
Potato chips,532,34,3.4,0,527,54,3.1,0.3,6.4,0,21,1.3,1196,2,0,100
Sweet potato chips,532,32,2.9,0,35,57,8.8,8.8,2.9,0,59,2.1,925,2,0,100
Foie gras,462,44,14,150,697,4.7,0,0,11,0,70,5.5,138,2,0,0
Soup,24,0.8,0.2,4,335,3,0.5,0,1.2,0,5,0.3,24,2,0,0
Bean soup,46,0.7,0.2,0,487,7.7,3.4,1.2,2.4,0,19,0.8,125,2,0,40
Onion soup,293,0.3,0.1,0,8031,65,6.6,4.7,7.5,0,143,1.3,721,2,0,40
Potato soup,116,5.7,2.8,18,154,11,0.7,3.3,5.9,0.7,115,0.5,258.8,2,0,40
Tomato soup,35,0.2,0,0,187,7.4,0.5,4,0.7,0,7.9,0.3,275,2,0,40
Chicken soup,33,0.7,0.1,3,229,4.7,0.9,1,2,0,14,0.3,133,2,0,0
Broccoli soup,90,6.1,3.5,18,367,4.9,0.8,0.7,4.3,0.3,122,0.3,120,2,0,40
Garlic bread,350,17,5.3,0,544,42,2.5,3.7,8.4,0.2,27,3.1,103,2,0,0
Garlic breadstick,343,13,3,7,539,44,2.4,1.1,12,0,87,4.7,132,2,0,0
Gnocchi,201,1.2,0.3,29,14,41,2,0.6,6,0.2,13,2.1,252.7,2,0,0
Hot dog,322,29,12,58,852,2.7,0,1.3,12,1,11,1.2,252,2,0,0
Macaron,384,17,6.5,6.6,157,53,4.3,46,7.5,0,59,3.2,268.6,2,0,0
Mussels,172,4.5,0.9,56,369,7.4,0,0,24,0,33,6.7,268,2,0,0
Paella,183,9.3,2.6,47,336,14,0.4,1.1,10,0.2,21,0.8,166.1,2,0,0
Veggie paella,95,1.9,0.3,0,2.4,17,1.3,2.2,2.2,0,14,0.4,131.1,2,0,40
Seafood paella,169,7.9,2.3,20,299,16,0.2,0.9,7.7,0.2,11,0.9,173.1,2,0,0
Samosa,261,17,7.1,27,423,24,2.1,1.6,3.5,0.2,17,0.7,189.1,2,0,0
Chicken samosa,188,8.3,1,11,311,22,1.9,1.5,6.9,0,20,1.7,262.2,2,0,0
Vegetable samosa,261,17,7.1,27,423,24,2.1,1.6,3.5,0.2,17,0.7,189.1,2,0,40
Huevos ranchero,143,9.5,2.9,53,347,8.7,2.6,1.1,6.3,0.5,61,1,265.4,2,0,0
Sticky rice,136,1.1,0.1,0,166,28,0,3.5,2,0,1.5,0.2,22.8,2,0,0
Mango sticky rice,185,9.2,8.1,0,6.1,26,0.6,16,1.9,0,12,1.6,162.4,2,0,40
Xoi,138,2.5,2.2,0,5.5,27,0.8,10,1.8,0,3.7,0.5,32.7,2,0,0
Char siu,152,3.3,1.1,60,291,7.5,0.1,6.7,22,0.3,8,1.1,380.2,2,0,0
Mochi,271,5.6,4.5,4.4,20,54,0.5,36,2.7,0,43,0.8,107.9,2,0,0
