name,image url
Thit kho nuoc dua,https://cdn.tgdd.vn/Files/2019/09/30/1203540/bi-quyet-lam-thit-kho-nuoc-dua-ngon-het-say-cua-me-mien-tay-202206061026329930.jpg
Bao,https://takestwoeggs.com/wp-content/uploads/2021/03/Ba?nh-Bao-Vietnamese-Steamed-Pork-Buns-takestwoeggs-sq.jpg
Fried rice,https://www.allrecipes.com/thmb/G96Vc_7F5Dm0csJJb2STC6tO97k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-mfs-49-79b33da67e2643e8b585972cd92c5821.jpg
Kimchi fried rice,https://takestwoeggs.com/wp-content/uploads/2022/03/Kimchi-Fried-Rice-Kimchi-bokkeumbap-takestwoeggs-final-photography-sq.jpg
Garlic fried rice,https://chefsavvy.com/wp-content/uploads/filipino-garlic-fried-rice.jpg
Roasted duck,"https://assets.epicurious.com/photos/5c93f15d7903444d883ded50/16:9/w_5648,h_3177,c_limit/Crisp-Roast-Duck-19032019.jpg"
Sushi,https://www.justonecookbook.com/wp-content/uploads/2020/01/Sushi-Rolls-Maki-Sushi-%E2%80%93-Hosomaki-1106-II.jpg
Tuna sushi,https://ocwildseafood.com/cdn/shop/articles/Ahi_Tuna_Sashimi_Seafood_Recipe_1024x.jpg?v=1591853624
Salmon sushi,https://aisforappleau.com/wp-content/uploads/2023/07/how-to-make-sushi-salmon-nigiri-6.jpg
Shrimp sushi,https://norecipes.com/wp-content/uploads/2022/02/shrimp-tempura-roll-004.jpg
Sushi california,https://upload.wikimedia.org/wikipedia/commons/9/9f/California_Sushi_%2826571101885%29.jpg
French fries,"https://images.immediate.co.uk/production/volatile/sites/30/2021/03/French-fries-b9e3e0c.jpg?quality=90&resize=556,505"
Sweet potato fries,https://www.wellplated.com/wp-content/uploads/2020/08/Baked-Sweet-Potato-Fries.jpg
Chicken burger,https://simply-delicious-food.com/wp-content/uploads/2022/06/Grilled-chicken-burgers2.jpg
Turkey burger,"https://hips.hearstapps.com/hmg-prod/images/turkey-burger-index-64873e8770b34.jpg?crop=0.6666666666666667xw:1xh;center,top&resize=1200:*"
Bacon burger,https://www.allrecipes.com/thmb/iSQnsbR_ZuWaHqCvbvlYJi7LE40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8143485-c61692d93de7450ea828b50d155c107d.jpg
Hamburger,https://www.cookingclassy.com/wp-content/uploads/2023/08/hamburgers-20.jpg
Spaghetti,https://static01.nyt.com/images/2022/12/23/multimedia/afg-spaghetti-alla-assassina-1-19ef/afg-spaghetti-alla-assassina-1-19ef-superJumbo.jpg
Spaghetti carbonara,https://static01.nyt.com/images/2021/02/14/dining/carbonara-horizontal/carbonara-horizontal-threeByTwoMediumAt2X-v2.jpg
Spaghetti bolognese,https://recipetineats.com/wp-content/uploads/2018/07/Spaghetti-Bolognese.jpg
Sausage spaghetti,https://www.premiofoods.com/content/uploads/2017/06/691.jpg
Chicken curry,https://www.allrecipes.com/thmb/FL-xnyAllLyHcKdkjUZkotVlHR8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/46822-indian-chicken-curry-ii-DDMFS-4x3-39160aaa95674ee395b9d4609e3b0988.jpg
Fried chicken,https://twoplaidaprons.com/wp-content/uploads/2023/02/Korean-fried-chicken-wings-on-a-plate-thumbnail-shot.jpg
Fried chicken wing,"https://hips.hearstapps.com/vidthumb/images/delish-fried-chicken-wings-seo-1new-1540589238.jpg?crop=0.75xw:1xh;center,top&resize=1200:*"
Fried chicken breast,https://www.wellplated.com/wp-content/uploads/2021/08/Crispy-Air-Fryer-Chicken-Breast.jpg
Fried chicken tenders,https://www.allrecipes.com/thmb/YwJvX75IUx8uQ7PKz2eTDjCoLvY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16669-fried-chicken-tenders-DDMFS-4x3-219f03b885be40139c8d93bef21d0a50.jpg
Fried chicken drumstick,https://www.thespruceeats.com/thmb/Ce9JRCp8CRy0TvjpOMG1_zzhrWE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/terris-crispy-fried-chicken-legs-3056879-hero-01-db3cd6bfead040e6ad07528a162db843.jpg
Nugget,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Chicken_Nuggets.jpg/640px-Chicken_Nuggets.jpg
Fish nugget,https://i0.wp.com/spainonafork.wpengine.com/wp-content/uploads/2020/08/image2-38-22.png?resize=531%2C800&ssl=1
Bbq chicken wings,https://dinnerthendessert.com/wp-content/uploads/2019/11/BBQ-Chicken-Wings-4x3.jpg
Bbq boneless wings,https://lilluna.com/wp-content/uploads/2018/05/honey-bbq-wings-resize-5.jpg
Bbq buffalo wings,https://www.allrecipes.com/thmb/zuNFXhgmZkmR_PeMth68O_dBWmA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8485791-a668c77f982d42ef8ca750ae59eb3e6f.jpg
Bbq honey wings,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/4c41b09cf41644a7b7ca1780edbeb960/BFV8354_Honey_BBQ_Chicken_Wings-FB1080.jpg
Burrito,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Burrito.JPG/800px-Burrito.JPG
Burrito beef,https://i.ytimg.com/vi/krkf7ObsTM4/maxresdefault.jpg
Steak burrito,https://handletheheat.com/wp-content/uploads/2014/01/Steak-Burrito-SQUARE.jpg
Chicken burrito,https://www.recipetineats.com/wp-content/uploads/2020/02/Chicken-Burritos_2.jpg
Donut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Glazed-Donut.jpg/1200px-Glazed-Donut.jpg
Mapple donut,https://thecozyapron.com/wp-content/uploads/2019/10/maple-donuts_thecozyapron_1.jpg
Sandwich,https://www.southernliving.com/thmb/UW4kKKL-_M3WgP7pkL6Pb6lwcgM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Ham_Sandwich_011-1-49227336bc074513aaf8fdbde440eafe.jpg
Ham sandwich,https://www.southernliving.com/thmb/UW4kKKL-_M3WgP7pkL6Pb6lwcgM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Ham_Sandwich_011-1-49227336bc074513aaf8fdbde440eafe.jpg
Tuna sandwich,https://lindseyeatsla.com/wp-content/uploads/2023/02/Lindseyeats__Tuna_Sandwich_Recipe-5.jpg
Club sandwich,"https://hips.hearstapps.com/hmg-prod/images/delish-200511-seo-club-sandwich-h-14383-eb-1590780714.jpg?crop=0.671xw:1.00xh;0.123xw,0&resize=1200:*"
Bacon sandwich,https://stordflolretailpd.blob.core.windows.net/df-us/lolretail/media/lolr-media/recipe-media-files/recipes/retail/x17/2018_avocado-and-bacon-grilled-cheese_2644_760x580.jpg?ext=.jpg
Turkey sandwich,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_1:1/k%2FPhoto%2FRecipes%2F2023-09-turkey-sandwich%2Fturkey-sandwich-814"
Salmon sandwich,https://thecookreport.co.uk/wp-content/uploads/2022/09/Salmon-Sandwich-Featured.jpg
Chicken sandwich,https://www.indianhealthyrecipes.com/wp-content/uploads/2023/09/mayo-chicken-sandwich-recipe.jpg
Lobster roll sandwich,https://www.eatingwell.com/thmb/ZrNy9pvrIiCo_PVC5G6EH-jlP28=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/lobster-roll-ck-226594-4x3-1-b3aea3b5cd3e46b6820e2ca6a5c7b310.jpg
Peanut butter sandwich,https://www.allrecipes.com/thmb/y6DLdlPjzMsKztstkBc8eE2DBik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9334336-4612d36a81f34f60a0191f7e470092b6.jpg
Sashimi,"https://images.immediate.co.uk/production/volatile/sites/30/2020/02/sashimi-c123df7.jpg?quality=90&resize=556,505"
Takoyaki,https://www.justonecookbook.com/wp-content/uploads/2013/10/Takoyaki-NEW-500x375.jpg
Tacos,https://i0.wp.com/www.onceuponachef.com/images/2023/08/Beef-Tacos.jpg?resize=760%2C570&ssl=1
Fish tacos,https://www.evolvingtable.com/wp-content/uploads/2023/05/baja-fish-tacos-42.jpg
Beef tacos,https://www.marthastewart.com/thmb/TqdvJ-yZ_VA9I86P7VXA1sOY6O0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/msledf_1003_beeftaco_horiz-892fe13aeba549d99495e27abc1d68f7.jpgitokb2Re7eO8
Chicken tacos,https://s23209.pcdn.co/wp-content/uploads/2019/08/Easy-Chicken-TacosIMG_9890.jpg
Breakfast tacos,https://www.wellplated.com/wp-content/uploads/2023/01/Best-Easy-Breakfast-Tacos.jpg
Boiled egg,https://www.recipetineats.com/wp-content/uploads/2023/03/How-long-to-boil-eggs-square.jpg
Soft boiled egg,https://www.onceuponachef.com/images/2017/10/soft-boiled-egg-pin-760x1140.jpg
Fried egg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Fried_Egg_2.jpg
Deviled egg,https://static01.nyt.com/images/2021/10/15/dining/aw-classic-deviled-eggs/aw-classic-deviled-eggs-superJumbo.jpg
Omelette,https://www.onceuponachef.com/images/2021/12/Omelette-1200x1626.jpg
Stew,"https://hips.hearstapps.com/hmg-prod/images/beef-stew-index-652e94c53b39b.jpg?crop=0.8891301070405547xw:1xh;center,top&resize=1200:*"
Pork stew,https://www.eatingwell.com/thmb/AlkeghUYT9JVetwMi3vdYH9hn2s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ClassicPorkStew_058-51b817dd012d40feb047ff4c321bbde6.jpg
Lamb stew,"https://hips.hearstapps.com/hmg-prod/images/190326-lamb-stew-325-1553801000.jpg?crop=0.668xw:1.00xh;0.167xw,0&resize=1200:*"
Seafood stew,https://s23209.pcdn.co/wp-content/uploads/2022/11/220223_DD_Easy-Cioppino_076.jpg
Chicken stew,https://assets-prd-weg.unataops.com/web/recipe_header/adbf36a5dddc4336a232946824eaaed9.jpg
Beef stew,"https://hips.hearstapps.com/hmg-prod/images/beef-stew-index-652e94c53b39b.jpg?crop=0.8891301070405547xw:1xh;center,top&resize=1200:*"
Grilled fish,https://thesecretsuppersociety.com/wp-content/uploads/2022/06/Greek-Style-Grilled-Fish-1.jpg
Grilled steak,https://hips.hearstapps.com/hmg-prod/images/how-to-grill-steak-1653399983.jpeg
Grilled salmon,https://www.acouplecooks.com/wp-content/uploads/2020/05/Grilled-Salmon-015-1.jpg
Grilled shrimp,https://www.acouplecooks.com/wp-content/uploads/2018/09/Grilled-Shrimp-006.jpg
Grilled octopus,https://www.allrecipes.com/thmb/J7hX8IQcYGf3vlvfZrz5r7pd29U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6723522-af2855be1a38418ebd9fc516034ffecc.jpg
Watermelon,https://megagrico.com/wp-content/uploads/2020/12/watermelon.jpg
Banana,https://i5.walmartimages.com/seo/Fresh-Banana-Fruit-Each_5939a6fa-a0d6-431c-88c6-b4f21608e4be.f7cd0cc487761d74c69b7731493c1581.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Avocado,"https://images.immediate.co.uk/production/volatile/sites/30/2020/02/Avocados-3d84a3a.jpg?quality=90&resize=556,505"
Apple,https://5.imimg.com/data5/AK/RA/MY-68428614/apple.jpg
Orange,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Oranges_-_whole-halved-segment.jpg/640px-Oranges_-_whole-halved-segment.jpg
Mandarins orange,https://res.cloudinary.com/hksqkdlah/image/upload/SIL_Citrus_Mandarin-Orange_009_jjrvg8.png
Mango,https://vcdn1-english.vnecdn.net/2023/09/17/1-jpeg-6089-1694932077.jpg?w=680&h=0&q=100&dpr=2&fit=crop&s=sfUaaPdg-GMNj_obJ2XN6A
Jackfruit,https://i.ex-cdn.com/nongnghiep.vn/files/content/2023/08/11/mit-sau-rieng-can-3-nam-theo-doi-de-dang-ky-cay-giong-dau-dong-192742_769-192743-013320_522.jpg
Cabbage,"https://hips.hearstapps.com/hmg-prod/images/types-of-cabbages-green-cabbage-1645130375.jpg?crop=0.6672958942897593xw:1xh;center,top&resize=980:*"
Red cabbage,"https://images.immediate.co.uk/production/volatile/sites/30/2022/08/Red-cabbage-cross-section-5017ef7.jpg?resize=768,574"
Spinach,"https://images.immediate.co.uk/production/volatile/sites/30/2013/06/GettyImages-652986635-3dffa4d.jpg?quality=90&resize=556,505"
Strawberry,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg/800px-Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg
Tomato,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Tomato_je.jpg/1200px-Tomato_je.jpg
Cucumber,https://www.plantgrower.org/uploads/6/5/5/4/65545169/published/cucumber-slices.jpg?1516496438
Carrot,https://blog-images-1.pharmeasy.in/blog/production/wp-content/uploads/2021/04/23175719/shutterstock_440493100-1.jpg
Cauliflower,https://debraklein.com/wp-content/uploads//2021/04/Raw-Cauliflower-Salad-1-1024x1024.jpg
Broccoli,https://domf5oio6qrcr.cloudfront.net/medialibrary/5390/h1218g16207258089583.jpg
Grape,https://www.westfaliafruit.com/wp-content/uploads/2019/01/Table-Grapes.jpg
Pear,https://www.fourwindsgrowers.com/cdn/shop/products/shutterstock_1693201075_1024x1024.png?v=1621966032
Peach,https://glycemic-index.net/images/FVRSYndNy8.webp
Pickle,https://upload.wikimedia.org/wikipedia/commons/b/bb/Pickle.jpg
Popcorn,https://www.popsci.com/uploads/2018/12/20/GSOZXQT4IFWCVO4O3L6JDYNV5U.jpg?auto=webp&width=1440&height=1211.625
Ramen,https://s23209.pcdn.co/wp-content/uploads/2014/10/220602_DD_Homemade-Ramen_572.jpg
Chicken ramen,https://www.brewinghappiness.com/wp-content/uploads/2018/10/featured-image-3.jpg
Tonkatsu ramen,https://glebekitchen.com/wp-content/uploads/2017/04/tonkotsuramenfront.jpg
Miso ramen,https://dishingouthealth.com/wp-content/uploads/2022/01/SpicyMisoRamen_Square.jpg
Miso soup,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Miso_Soup_001.jpg/1200px-Miso_Soup_001.jpg
Imitation crab,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/imitation-crab-1296x728-feature.jpg?w=1155&h=1528
Ham,https://upload.wikimedia.org/wikipedia/commons/a/a9/Ham_%284%29.jpg
Pad thai,https://www.recipetineats.com/wp-content/uploads/2020/01/Chicken-Pad-Thai_9-SQ.jpg
Pork chop,"https://hips.hearstapps.com/hmg-prod/images/delish-190618-air-fryer-pork-chops-195-landscape-pf-1561578417.png?crop=0.668xw:1.00xh;0.101xw,0&resize=1200:*"
